seconds_since_Epoch,tested,positive,deaths
1588293736,41986,4998,243
1588345982,43595,5227,243
1588376822,43595,5227,245
1588388223,43595,5227,254
1588437482,44387,5311,254
1588465622,44387,5311,257
1588525202,45182,5423,257
1588530002,45269,5426,257
1588548783,45269,5426,262
1588653302,46166,5491,266
1588698294,47884,5594,267
1588719183,47884,5594,268
1588729982,47884,5594,276
1588815482,49275,5663,286
1588891082,51357,5766,286
1588896482,51357,5766,293
1588995062,53344,5884,301
1589078462,56111,5884,306
1589158202,58809,5884,306
1589223723,60084,5884,306
1589247902,60084,5884,312
1589252462,60084,6152,312
1589328062,64075,6152,312
1589328642,76914,6311,312
1589431752,76914,6394,331
1589518558,82993,6499,339
1589608085,82993,6614,345
1589673542,82993,6662,349
1589747643,82993,6857,349
1589758213,82993,6857,350
1589861223,82993,6906,364
1589940380,103703,7046,373
1590028013,107666,7166,378
1590122437,111323,7255,381
1590220143,117606,7401,387
1590290743,125394,7696,392
1590371050,128803,7770,394
1590557937,142833,7998,396
1590644883,148525,8113,402
1590766442,151938,8208,410
1590820862,155449,8350,415
1590909782,160499,8495,417
1590991142,165014,8593,421
1591079022,169813,8688,421
1591166320,176032,8830,421
1591248395,180008,8935,429
1591339974,185648,9090,429
1591427726,191125,9266,433
1591675223,206514,9786,442
1591771006,211157,10030,444
1591859710,215087,10164,448
1591945349,221786,10399,458
1592192988,241729,11173,464
1592285621,248498,11279,465
1592377414,254799,11658,467
1592550362,264568,12076,475
1592702424,274879,12931,486
1592981029,285790,13997,492
1593066179,290098,14362,494
1593225514,297635,15240,498
1593398068,307131,17160,500
1593812190,353255,20718,528
1594101442,376887,22909,537
1594271754,396632,24301,553
1594445820,416707,25908,579
1594880158,457522,30468,618
1594961229,465682,31915,626